FIPSCode,LocationType,Location,AgeGroup,Gender,TimeFrame,DataFormat,Data
06,State,California,Total for Ages 0_17,Total,2000,Number,"9,226,715"
06,State,California,Total for Ages 0_17,Total,2001,Number,"9,351,040"
06,State,California,Total for Ages 0_17,Total,2002,Number,"9,439,641"
06,State,California,Total for Ages 0_17,Total,2003,Number,"9,522,125"
06,State,California,Total for Ages 0_17,Total,2004,Number,"9,559,942"
06,State,California,Total for Ages 0_17,Total,2005,Number,"9,551,284"
06,State,California,Total for Ages 0_17,Total,2006,Number,"9,550,173"
06,State,California,Total for Ages 0_17,Total,2007,Number,"9,549,093"
06,State,California,Total for Ages 0_17,Total,2008,Number,"9,525,912"
06,State,California,Total for Ages 0_17,Total,2009,Number,"9,307,822"
06,State,California,Total for Ages 0_17,Total,2010,Number,"9,283,665"
06,State,California,Total for Ages 0_17,Total,2011,Number,"9,255,910"
06,State,California,Total for Ages 0_17,Total,2012,Number,"9,223,476"
06,State,California,Total for Ages 0_17,Total,2013,Number,"9,193,871"
06,State,California,Total for Ages 0_17,Total,2014,Number,"9,176,805"
06,State,California,Total for Ages 0_17,Total,2015,Number,"9,175,895"
06,State,California,Total for Ages 0_17,Total,2016,Number,"9,161,273"
06,State,California,Total for Ages 0_17,Total,2017,Number,"9,150,520"
06,State,California,Total for Ages 0_17,Total,2018,Number,"9,114,243"
06,State,California,Total for Ages 0_17,Total,2019,Number,"9,061,651"

